MonsterTalentId,MonsterId,TalentId,IsPrimary
1,101,23,TRUE
2,101,64,FALSE
3,101,74,FALSE
4,102,30,TRUE
5,102,68,FALSE
6,102,64,FALSE
7,103,23,TRUE
8,103,81,FALSE
9,103,56,FALSE
10,104,47,TRUE
11,104,84,FALSE
12,104,62,FALSE
13,105,33,TRUE
14,105,74,FALSE
15,105,56,FALSE
16,106,49,TRUE
17,107,9,TRUE
18,108,38,TRUE
19,109,54,TRUE
20,110,44,TRUE
21,111,90,TRUE
22,113,52,TRUE
23,114,54,TRUE
24,115,34,TRUE
25,116,45,TRUE
26,117,37,TRUE
27,118,106,TRUE
28,119,30,TRUE
29,120,44,TRUE
30,121,51,TRUE
31,122,22,TRUE
32,123,51,TRUE
33,124,32,TRUE
34,126,31,TRUE
35,127,39,TRUE
36,128,28,TRUE
37,129,34,TRUE
38,130,52,TRUE
39,131,36,TRUE
40,132,9,TRUE
41,133,53,TRUE
42,134,48,TRUE
43,135,27,TRUE
44,136,30,TRUE
45,137,5,TRUE
46,138,51,TRUE
47,139,34,TRUE
48,140,5,TRUE
49,141,5,TRUE
50,142,49,TRUE
51,143,22,TRUE
52,144,42,TRUE
53,145,46,TRUE
743,145,74,FALSE
772,145,58,FALSE
54,146,36,TRUE
57,149,17,TRUE
58,150,34,TRUE
649,146,78,FALSE
773,146,56,FALSE
55,147,9,TRUE
56,148,35,TRUE
59,151,39,TRUE
60,152,20,TRUE
61,153,43,TRUE
66,158,34,TRUE
62,154,27,TRUE
68,160,1,TRUE
518,154,60,FALSE
70,162,39,TRUE
774,154,79,FALSE
72,165,55,TRUE
73,166,25,TRUE
63,155,41,TRUE
64,156,89,TRUE
65,157,7,TRUE
67,159,40,TRUE
69,161,50,TRUE
71,164,35,TRUE
814,164,66,FALSE
81,174,1,TRUE
815,164,80,FALSE
74,167,98,TRUE
512,167,62,FALSE
775,167,82,FALSE
75,168,28,TRUE
76,169,48,TRUE
77,170,36,TRUE
78,171,38,TRUE
90,183,32,TRUE
79,172,29,TRUE
92,185,26,TRUE
80,173,17,TRUE
94,187,54,TRUE
95,188,1,TRUE
82,175,107,TRUE
97,190,54,TRUE
98,191,43,TRUE
83,176,9,TRUE
84,177,36,TRUE
101,194,36,TRUE
102,195,43,TRUE
85,178,41,TRUE
86,179,29,TRUE
87,180,11,TRUE
106,199,46,TRUE
88,181,19,TRUE
89,182,108,TRUE
91,184,50,TRUE
93,186,32,TRUE
96,189,33,TRUE
99,192,31,TRUE
100,193,5,TRUE
103,196,5,TRUE
104,197,1,TRUE
105,198,32,TRUE
107,200,99,TRUE
108,201,31,TRUE
109,202,35,TRUE
110,203,30,TRUE
111,204,7,TRUE
112,205,22,TRUE
113,206,27,TRUE
114,207,25,TRUE
115,208,100,TRUE
116,209,99,TRUE
117,210,87,TRUE
118,211,53,TRUE
511,211,60,FALSE
130,223,52,TRUE
776,211,73,FALSE
119,212,31,TRUE
120,213,95,TRUE
121,214,31,TRUE
135,228,11,TRUE
122,215,22,TRUE
123,216,97,TRUE
124,217,49,TRUE
125,218,28,TRUE
141,234,37,TRUE
126,219,97,TRUE
127,220,109,TRUE
144,238,25,TRUE
128,221,110,TRUE
146,240,19,TRUE
129,222,24,TRUE
131,224,20,TRUE
132,225,46,TRUE
133,226,111,TRUE
516,226,76,FALSE
777,226,62,FALSE
134,227,42,TRUE
136,229,7,TRUE
514,229,66,FALSE
158,252,30,TRUE
778,229,77,FALSE
160,254,31,TRUE
137,230,3,TRUE
138,231,25,TRUE
139,232,26,TRUE
165,259,29,TRUE
166,260,3,TRUE
140,233,26,TRUE
142,235,20,TRUE
169,263,15,TRUE
143,236,54,TRUE
145,239,87,TRUE
147,241,88,TRUE
515,241,56,FALSE
779,241,71,FALSE
175,270,22,TRUE
148,242,97,TRUE
149,243,13,TRUE
150,244,24,TRUE
179,150,81,FALSE
180,150,60,FALSE
181,187,78,FALSE
182,187,60,FALSE
183,107,73,FALSE
184,107,56,FALSE
185,263,83,FALSE
186,263,58,FALSE
187,142,74,FALSE
188,142,56,FALSE
189,252,78,FALSE
190,252,66,FALSE
191,116,77,FALSE
192,116,62,FALSE
193,185,76,FALSE
194,185,62,FALSE
195,133,79,FALSE
196,133,66,FALSE
197,195,77,FALSE
198,195,58,FALSE
199,270,84,FALSE
200,270,58,FALSE
201,183,80,FALSE
202,183,66,FALSE
203,260,81,FALSE
204,260,60,FALSE
205,141,70,FALSE
206,141,64,FALSE
207,108,82,FALSE
208,108,60,FALSE
209,199,71,FALSE
210,199,62,FALSE
211,128,85,FALSE
212,128,56,FALSE
213,158,70,FALSE
214,158,56,FALSE
215,188,81,FALSE
216,188,64,FALSE
217,162,75,FALSE
218,162,56,FALSE
219,121,76,FALSE
220,121,60,FALSE
221,190,79,FALSE
222,190,62,FALSE
223,149,72,FALSE
224,149,58,FALSE
225,194,73,FALSE
226,194,66,FALSE
227,259,86,FALSE
228,259,64,FALSE
229,191,78,FALSE
230,191,66,FALSE
231,223,83,FALSE
232,223,64,FALSE
233,165,71,FALSE
234,165,58,FALSE
235,238,76,FALSE
236,238,60,FALSE
237,254,69,FALSE
238,254,66,FALSE
239,166,86,FALSE
240,166,64,FALSE
241,160,68,FALSE
242,160,58,FALSE
243,234,86,FALSE
244,234,66,FALSE
151,245,89,TRUE
152,246,11,TRUE
648,246,66,FALSE
780,246,77,FALSE
153,247,96,TRUE
154,248,51,TRUE
725,248,62,FALSE
781,248,83,FALSE
155,249,15,TRUE
156,250,24,TRUE
157,251,87,TRUE
257,307,107,TRUE
258,300,44,TRUE
159,253,90,TRUE
162,256,112,TRUE
163,257,87,TRUE
164,258,111,TRUE
167,261,54,TRUE
168,262,113,TRUE
266,310,19,TRUE
170,264,25,TRUE
171,265,33,TRUE
172,266,97,TRUE
173,267,35,TRUE
174,268,5,TRUE
443,269,113,TRUE
176,271,3,TRUE
177,272,15,TRUE
178,273,97,TRUE
336,274,13,TRUE
277,280,20,TRUE
248,275,142,TRUE
251,276,55,TRUE
250,277,89,TRUE
256,278,11,TRUE
285,279,97,TRUE
275,281,11,TRUE
259,282,52,TRUE
262,283,100,TRUE
719,283,75,FALSE
783,283,66,FALSE
270,284,55,TRUE
294,338,160,TRUE
271,286,112,TRUE
730,286,83,FALSE
782,286,60,FALSE
445,287,113,TRUE
650,287,68,FALSE
784,287,66,FALSE
264,288,106,TRUE
715,288,66,FALSE
785,288,82,FALSE
246,289,96,TRUE
370,290,34,TRUE
397,291,96,TRUE
255,292,46,TRUE
735,292,78,FALSE
313,343,147,TRUE
786,292,66,FALSE
268,293,107,TRUE
279,294,40,TRUE
263,295,50,TRUE
267,296,88,TRUE
265,297,100,TRUE
744,297,72,FALSE
787,297,58,FALSE
280,298,1,TRUE
252,299,87,TRUE
714,299,60,FALSE
788,299,80,FALSE
425,301,109,TRUE
434,302,137,TRUE
245,303,138,TRUE
247,304,96,TRUE
627,304,56,FALSE
334,228,7,TRUE
335,323,1,TRUE
789,304,75,FALSE
253,305,3,TRUE
712,305,80,FALSE
790,305,58,FALSE
254,306,54,TRUE
343,332,45,TRUE
260,308,37,TRUE
727,308,72,FALSE
791,308,64,FALSE
261,309,99,TRUE
269,311,46,TRUE
272,312,145,TRUE
273,313,45,TRUE
622,313,62,FALSE
792,313,77,FALSE
274,314,45,TRUE
276,315,87,TRUE
278,316,41,TRUE
281,318,95,TRUE
283,320,39,TRUE
284,321,19,TRUE
333,322,47,TRUE
301,324,139,TRUE
337,325,87,TRUE
338,326,20,TRUE
339,327,19,TRUE
340,328,137,TRUE
328,329,98,TRUE
706,329,58,FALSE
793,329,81,FALSE
302,330,140,TRUE
342,331,47,TRUE
698,331,75,FALSE
794,331,66,FALSE
344,333,172,TRUE
319,334,169,TRUE
292,335,143,TRUE
345,336,144,TRUE
346,337,159,TRUE
295,339,161,TRUE
520,340,209,TRUE
347,341,172,TRUE
348,342,173,TRUE
349,344,154,TRUE
521,345,185,TRUE
350,346,154,TRUE
522,347,198,TRUE
351,348,139,TRUE
560,349,211,TRUE
561,350,190,TRUE
391,405,162,TRUE
562,351,191,TRUE
393,408,152,TRUE
563,352,212,TRUE
488,353,175,TRUE
352,354,20,TRUE
353,355,19,TRUE
736,355,79,FALSE
795,355,60,FALSE
354,356,33,TRUE
355,357,45,TRUE
523,358,184,TRUE
358,359,20,TRUE
359,360,182,TRUE
360,361,30,TRUE
362,362,162,TRUE
524,363,185,TRUE
363,364,146,TRUE
676,364,83,FALSE
796,364,84,FALSE
364,365,149,TRUE
320,366,170,TRUE
321,367,171,TRUE
624,367,64,FALSE
797,367,71,FALSE
525,369,199,TRUE
526,370,207,TRUE
527,371,209,TRUE
367,372,148,TRUE
528,373,185,TRUE
368,374,182,TRUE
564,375,191,TRUE
590,376,192,TRUE
533,377,200,TRUE
534,378,205,TRUE
567,379,191,TRUE
592,380,221,TRUE
593,381,222,TRUE
535,382,205,TRUE
594,383,223,TRUE
588,384,218,TRUE
372,385,90,TRUE
373,386,166,TRUE
374,387,142,TRUE
375,388,170,TRUE
376,389,13,TRUE
695,389,74,FALSE
798,389,68,FALSE
377,390,137,TRUE
378,391,152,TRUE
379,392,182,TRUE
380,393,45,TRUE
381,394,140,TRUE
681,394,66,FALSE
799,394,70,FALSE
382,395,154,TRUE
383,396,149,TRUE
322,397,172,TRUE
323,398,173,TRUE
385,399,171,TRUE
455,481,167,TRUE
297,400,163,TRUE
500,401,187,TRUE
459,488,160,TRUE
386,402,169,TRUE
387,403,165,TRUE
389,404,169,TRUE
289,406,148,TRUE
501,407,187,TRUE
639,407,56,FALSE
800,407,69,FALSE
394,409,149,TRUE
591,410,192,TRUE
395,411,182,TRUE
396,412,180,TRUE
568,413,183,TRUE
569,414,183,TRUE
554,415,203,TRUE
475,516,17,TRUE
623,415,81,FALSE
801,415,62,FALSE
398,416,39,TRUE
403,417,40,TRUE
404,418,19,TRUE
689,418,72,FALSE
802,418,56,FALSE
330,419,181,TRUE
405,420,168,TRUE
697,420,66,FALSE
803,420,86,FALSE
587,421,216,TRUE
324,422,176,TRUE
407,423,176,TRUE
538,424,207,TRUE
298,425,164,TRUE
679,425,77,FALSE
804,425,60,FALSE
539,426,141,TRUE
408,427,163,TRUE
409,428,151,TRUE
410,429,176,TRUE
411,430,140,TRUE
412,431,143,TRUE
415,432,179,TRUE
416,433,169,TRUE
417,434,168,TRUE
290,435,159,TRUE
570,436,189,TRUE
418,437,153,TRUE
540,438,198,TRUE
420,440,15,TRUE
542,441,208,TRUE
421,442,167,TRUE
304,443,168,TRUE
513,130,71,FALSE
683,443,74,FALSE
805,443,56,FALSE
517,136,78,FALSE
331,444,182,TRUE
519,323,58,FALSE
332,445,142,TRUE
422,446,27,TRUE
687,446,74,FALSE
806,446,60,FALSE
305,447,146,TRUE
707,447,73,FALSE
807,447,66,FALSE
423,448,98,TRUE
424,449,110,TRUE
426,450,110,TRUE
427,451,19,TRUE
428,452,19,TRUE
429,453,179,TRUE
675,453,60,FALSE
808,453,82,FALSE
430,454,180,TRUE
299,455,165,TRUE
431,456,152,TRUE
432,457,148,TRUE
325,458,178,TRUE
435,459,148,TRUE
436,460,147,TRUE
437,461,165,TRUE
438,462,170,TRUE
439,463,139,TRUE
440,464,178,TRUE
543,465,203,TRUE
494,466,186,TRUE
442,467,164,TRUE
596,468,225,TRUE
444,469,98,TRUE
446,470,113,TRUE
306,471,137,TRUE
708,471,58,FALSE
809,471,75,FALSE
447,472,137,TRUE
448,473,1,TRUE
449,474,112,TRUE
450,475,146,TRUE
451,476,176,TRUE
452,477,106,TRUE
453,478,88,TRUE
506,479,156,TRUE
545,480,141,TRUE
669,480,78,FALSE
810,480,62,FALSE
546,482,201,TRUE
326,483,179,TRUE
327,484,180,TRUE
547,485,184,TRUE
457,486,180,TRUE
458,487,180,TRUE
460,489,158,TRUE
461,490,158,TRUE
507,491,150,TRUE
463,492,169,TRUE
508,493,150,TRUE
317,494,152,TRUE
575,495,213,TRUE
577,496,189,TRUE
489,497,175,TRUE
578,498,210,TRUE
579,499,213,TRUE
549,500,200,TRUE
597,501,226,TRUE
598,502,226,TRUE
550,503,202,TRUE
551,504,204,TRUE
466,505,37,TRUE
468,506,90,TRUE
469,507,165,TRUE
694,507,85,FALSE
811,507,66,FALSE
552,508,141,TRUE
307,509,155,TRUE
470,510,113,TRUE
472,511,36,TRUE
473,512,180,TRUE
308,513,88,TRUE
309,514,111,TRUE
474,515,170,TRUE
476,517,159,TRUE
495,518,186,TRUE
477,519,167,TRUE
300,520,166,TRUE
478,521,143,TRUE
479,522,164,TRUE
318,523,153,TRUE
482,524,140,TRUE
483,525,167,TRUE
555,526,203,TRUE
496,527,186,TRUE
492,528,194,TRUE
583,529,213,TRUE
490,530,175,TRUE
556,531,204,TRUE
557,532,205,TRUE
558,533,141,TRUE
559,534,206,TRUE
487,535,194,TRUE
601,536,229,TRUE
602,537,230,TRUE
603,538,231,TRUE
625,481,64,FALSE
604,539,232,TRUE
628,338,64,FALSE
629,174,77,FALSE
630,488,56,FALSE
605,540,233,TRUE
606,541,234,TRUE
634,408,85,FALSE
609,542,237,TRUE
619,543,238,TRUE
611,544,240,TRUE
612,545,241,TRUE
613,546,219,TRUE
640,405,76,FALSE
614,547,220,TRUE
620,548,193,TRUE
644,343,60,FALSE
454,549,160,TRUE
484,550,180,TRUE
288,551,158,TRUE
401,552,164,TRUE
399,553,168,TRUE
651,307,81,FALSE
566,554,211,TRUE
653,488,75,FALSE
654,343,82,FALSE
291,555,151,TRUE
486,556,155,TRUE
657,405,86,FALSE
659,408,76,FALSE
456,557,173,TRUE
548,558,207,TRUE
529,559,185,TRUE
303,560,167,TRUE
530,561,205,TRUE
491,562,186,TRUE
402,563,108,TRUE
670,338,80,FALSE
531,564,205,TRUE
576,565,210,TRUE
674,481,84,FALSE
509,566,156,TRUE
361,567,168,TRUE
503,568,156,TRUE
672,568,62,FALSE
812,568,76,FALSE
296,569,162,TRUE
384,570,173,TRUE
621,571,246,TRUE
371,572,48,TRUE
406,574,140,TRUE
691,516,84,FALSE
329,575,144,TRUE
471,576,155,TRUE
357,577,176,TRUE
341,578,110,TRUE
356,579,110,TRUE
703,332,56,FALSE
704,332,68,FALSE
705,516,73,FALSE
400,580,95,TRUE
510,581,156,TRUE
369,582,3,TRUE
600,584,228,TRUE
711,310,76,FALSE
