TalentId,Name,Identifier,JapaneseName,IsEggOnly,FrenchName
202,Aamon,aamon,エビルプリースト,FALSE,Aamon
209,Agent Provocateur,agent-provocateur,カオス,FALSE,Non-conformiste
64,Agility Booster I,agility-booster-i,すばやさアップ1,FALSE,Boost Agilité I
65,Agility Booster II,agility-booster-ii,すばやさアップ2,FALSE,Boost Agilité II
122,Agility Booster III,agility-booster-iii,すばやさアップ3,FALSE,Boost Agilité III
123,Agility Booster IV,agility-booster-iv,すばやさアップ4,FALSE,Boost Agilité IV
91,Air Fryer,air-fryer,風炎の剣技,FALSE,Touffeur
201,Airhead,airhead,エスパー,FALSE,Voltigeur
211,Altruist,altruist,守護神,FALSE,Altruiste
142,Anaesthetist,anaesthetist,スタン,FALSE,Anesthésiste
79,Antimagic Avoider,antimagic-avoider,封じガード,FALSE,Briseur d'antimagie
113,Antimagician,antimagician,アンチスペル,FALSE,Antimage
32,Aquapothecary,aquapothecary,みずげい,FALSE,Aquapothicaire
44,Assassin,assassin,アサシン,FALSE,Assassin
60,Attack Booster I,attack-booster-i,攻撃力アップ1,FALSE,Boost Attaque I
61,Attack Booster II,attack-booster-ii,攻撃力アップ2,FALSE,Boost Attaque II
118,Attack Booster III,attack-booster-iii,攻撃力アップ3,FALSE,Boost Attaque III
119,Attack Booster IV,attack-booster-iv,攻撃力アップ4,FALSE,Boost Attaque IV
205,Bad Breather,bad-breather,息じごく,FALSE,Pue-du-bec
9,Bang Afficionado,bang-afficionado,爆発の心,FALSE,Espoir Bang
10,Bang Virtuoso,bang-virtuoso,爆発の極意,FALSE,Esthète Bang
72,Bang Ward,bang-ward,爆発ガード,FALSE,Protection Bang
206,Baramos,baramos,バラモス,FALSE,Baramos
223,Barbarus,barbarus,闇竜バルボロス,FALSE,Barbarus
89,Barricade,barricade,てっぺき,FALSE,Barricade
78,Bedazzlement Blocker,bedazzlement-blocker,幻惑ガード,FALSE,Briseur d'éblouissement
228,Bishop Ladja,bishop-ladja,ゲマ,FALSE,Erebos le Fou
41,Blade Maven,blade-maven,剣術,FALSE,Sommité du sabre
19,Blazer,blazer,火炎,FALSE,Incendiaire
143,Blighter,blighter,暗闇,FALSE,Mauvais génie
127,Blowhard,blowhard,グランドブレスSP,FALSE,Souffle-souffre
34,Blowy Slasher,blowy-slasher,グリーンソード,FALSE,Estoqueur de vent
